"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Musk",36.0777507870978,0.185150191510933,0.179628848170931,1.03073750901497,0.302663930036507,0.520904463641339,FALSE
"Mustn1",50.3174233019197,0.29212623982482,0.139419968063888,2.09529699283073,0.0361445996327588,0.13766947103584,FALSE
"Mut",2195.28820406998,-0.100706351381075,0.0611896778481943,-1.64580620330961,0.0998036647382878,0.260066937341763,FALSE
"Mutyh",183.980877772212,0.0559099414552777,0.077629021225847,0.720219585052068,0.471389807176476,0.672551179518443,FALSE
"Mvb12a",758.044186400965,0.167759219873572,0.0856824585572829,1.95791790639874,0.0502396463910894,0.16817990254614,FALSE
"Mvb12b",4242.41971532514,-0.0778617217603229,0.0438728318841905,-1.77471383579368,0.0759451496278277,0.217830077061631,FALSE
"Mvd",515.367847660675,-0.132026463011843,0.053208382098849,-2.48130948177617,0.0130900665672711,0.071596347910558,FALSE
"Mvk",460.084495799622,-0.193499849117087,0.0663779941385363,-2.91512046467142,0.00355551272945123,0.0309309999855293,FALSE
"Mvp",641.397991734267,0.349989512270415,0.105042510490792,3.33188449738257,0.000862600492187456,0.012483965838768,FALSE
"Mx1",8.98441878969787,0.787115268514526,0.420168735879442,1.87333135785802,0.0610226422674635,0.190457062683254,FALSE
"Mx2",40.5104999328499,0.0986581584393328,0.162891325504473,0.605668583847479,0.544734849672408,0.729215098246141,FALSE
"Mxd1",1515.27993125763,-0.105927669200743,0.0570228743612322,-1.85763468410423,0.0632209096205134,0.194882237276717,FALSE
"Mxd4",5095.38002626029,-0.209923773469661,0.0951629708700122,-2.20593967958826,0.0273882234765654,0.114983160437211,FALSE
"Mxi1",5306.90181255364,-0.03640512406876,0.0520387038644847,-0.699577840438984,0.484190985363664,0.682685487333097,FALSE
"Mxra7",513.260855614883,0.411552605868596,0.112030676056838,3.67357067148106,0.000239184484210388,0.00541859812527589,FALSE
"Mxra8",580.7508334376,0.113814040226155,0.10211964698611,1.1145165850567,0.265057633432155,0.478818685072116,FALSE
"Myadm",1177.19480958627,-0.210691385315088,0.0967301001875833,-2.17813674240496,0.0293958578558053,0.120428230978235,FALSE
"Myadml2",127.194918638148,0.206314464412002,0.107127096726694,1.92588496016427,0.054118739781908,0.176085896196548,FALSE
"Myb",37.4796965602914,-0.264236380545139,0.184534861818481,-1.43190494165302,0.152171027808381,0.340375464541255,FALSE
"Mybbp1a",2261.10891478995,0.0300589676507443,0.051295186787826,0.585999769823983,0.557875669521837,0.738296030764008,FALSE
"Mybl1",648.02919783297,0.264399061633332,0.0819152776988944,3.22771367027791,0.0012478380914843,0.0157372252310446,FALSE
